candidate_id,complete_config_id,family,level,interval_fast_blocks,interval_mid_blocks,interval_slow_blocks,residual_new_weight,threshold_scale,block_size_samples,algorithm,paired_reference_algorithm,trajectory,seed,output_snr_db,a2_output_snr_db,paired_snr_difference_db,frequency_mae_hz,tracker_calls,a2_tracker_calls,tracker_calls_reduction_fraction,state_fast_samples,state_mid_samples,state_slow_samples,state_transitions,host_ns_per_sample,host_tsc_ticks_per_sample,finite
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F1,101,14.124023881,14.124023881,0.0,0.079062414,42,160,0.7375,1599,300,6101,5,661.0625,1523.03625,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F1,102,14.11710914,14.11710914,0.0,0.077812529,42,160,0.7375,1599,300,6101,5,666.275,1535.045,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F1,103,14.139194957,14.139194957,0.0,0.078750014,42,160,0.7375,1599,300,6101,5,673.3625,1551.374625,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F1,104,14.170967185,14.170967185,0.0,0.080937552,41,160,0.74375,1549,300,6151,5,643.3125,1482.1175,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F1,105,14.116650424,14.116650424,0.0,0.077812529,42,160,0.7375,1599,300,6101,5,666.775,1536.2105,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F1,106,14.219201219,14.219201225,-6.000000496442226e-09,0.074896336,40,160,0.75,1499,300,6201,5,645.0,1486.00025,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F1,107,14.250070828,14.250070828,0.0,0.075051999,42,160,0.7375,1599,300,6101,5,698.825,1610.03075,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F1,108,14.172010107,14.172009204,9.030000001075678e-07,0.079273033,40,160,0.75,1499,300,6201,5,631.725,1455.40525,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F1,109,14.178160601,14.178161631,-1.0299999999574538e-06,0.075833821,39,160,0.75625,1449,300,6251,5,610.9625,1407.57325,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F3,100,15.147606959,15.7829911,-0.6353841409999994,0.177081656,25,160,0.84375,599,500,6901,4,361.85,833.69725,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F3,101,14.983942587,15.673707929,-0.6897653420000012,0.183899735,29,160,0.81875,699,1000,6301,6,423.0625,974.71375,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F3,102,15.001974081,15.693642817,-0.6916687360000005,0.182649802,29,160,0.81875,699,1050,6251,6,436.8125,1006.348875,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F3,103,15.029924645,15.714898221,-0.6849735760000009,0.18077352,30,160,0.8125,699,1150,6151,6,451.475,1040.10275,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F3,104,15.007923003,15.760842509,-0.7529195059999996,0.19393897,25,160,0.84375,649,150,7201,2,370.25,852.9745,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F3,105,14.983275846,15.699915317,-0.7166394710000006,0.182995509,29,160,0.81875,699,1150,6151,8,427.7875,985.60125,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F3,106,15.209310067,15.839506387,-0.6301963199999996,0.170553731,25,160,0.84375,599,500,6901,4,364.2375,839.16875,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F3,107,15.217089629,15.867205328,-0.6501156990000005,0.172792791,28,160,0.825,699,1050,6251,8,419.325,966.0775,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F3,108,15.139752195,15.775287621,-0.6355354260000006,0.179069804,25,160,0.84375,599,450,6951,4,363.9375,838.4525,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F3,109,15.139013596,15.744740631,-0.605727035000001,0.172312712,24,160,0.85,599,450,6951,4,345.125,795.115875,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F4,100,14.156654379,14.628981172,-0.4723267929999988,0.275383827,92,160,0.425,4000,1500,2500,14,1524.3,3511.821875,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F4,101,14.177062853,14.6456862,-0.4686233469999994,0.265343238,84,160,0.475,3450,1750,2800,13,1417.9875,3266.79275,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F4,102,14.180783104,14.640476007,-0.45969290300000054,0.262778064,86,160,0.4625,3850,850,3300,12,1426.7375,3287.09475,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F4,103,14.255999672,14.669328105,-0.4133284330000002,0.25992299,88,160,0.45,3800,1350,2850,13,1504.8,3466.961875,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F4,104,14.193981073,14.721445583,-0.5274645099999997,0.269552616,87,160,0.45625,3850,1300,2850,13,1443.125,3324.786,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F4,105,14.195254179,14.645887715,-0.4506335359999998,0.260978418,88,160,0.45,4000,750,3250,12,1485.8625,3423.301625,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F4,106,14.186464536,14.700889168,-0.514424631999999,0.272563704,88,160,0.45,3950,1050,3000,13,1460.9625,3365.90775,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F4,107,14.251306642,14.742834364,-0.4915277220000007,0.268333811,88,160,0.45,4000,650,3350,12,1445.225,3329.5605,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F4,108,14.121061602,14.621937906,-0.5008763040000002,0.275295845,90,160,0.4375,4100,900,3000,13,1481.0125,3412.0335,1
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,3,2,F4,109,14.182797758,14.608883071,-0.42608531299999974,0.268924871,91,160,0.43125,4000,1250,2750,13,1497.175,3449.316875,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F1,100,14.183064184,14.183063827,3.569999993402462e-07,0.079271817,51,160,0.68125,1449,350,6201,5,821.925,1893.668125,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F1,101,14.124023881,14.124023881,0.0,0.079062414,53,160,0.66875,1599,300,6101,5,851.0125,1960.68925,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F1,102,14.11710914,14.11710914,0.0,0.077812529,53,160,0.66875,1599,300,6101,5,844.325,1945.25275,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F1,103,14.139194957,14.139194957,0.0,0.078750014,53,160,0.66875,1599,300,6101,5,871.125,2006.959625,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F1,104,14.170967185,14.170967185,0.0,0.080937529,52,160,0.675,1549,300,6151,5,853.2,1965.6925,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F1,105,14.116650424,14.116650424,0.0,0.077812529,53,160,0.66875,1599,300,6101,5,866.1,1995.36525,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F1,106,14.219201406,14.219201225,1.809999989887956e-07,0.074896097,51,160,0.68125,1499,300,6201,5,817.15,1882.61275,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F1,107,14.250070828,14.250070828,0.0,0.075051999,53,160,0.66875,1599,300,6101,5,866.55,1996.45275,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F1,108,14.172010059,14.172009204,8.549999996887436e-07,0.079271889,51,160,0.68125,1499,300,6201,5,840.9875,1937.543625,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F1,109,14.178161554,14.178161631,-7.699999926558121e-08,0.075833583,51,160,0.68125,1449,300,6251,5,849.125,1956.167125,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F3,100,15.432979998,15.7829911,-0.35001110199999985,0.143789791,36,160,0.775,599,150,7251,2,557.675,1284.8705,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F3,101,15.410056281,15.673707929,-0.2636516480000015,0.13108828,38,160,0.7625,699,150,7151,2,588.2625,1355.33275,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F3,102,15.430322809,15.693642817,-0.2633200080000009,0.129838346,38,160,0.7625,699,150,7151,2,633.575,1459.673625,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F3,103,15.447623979,15.714898221,-0.26727424200000094,0.130775832,38,160,0.7625,699,150,7151,2,626.5875,1443.5955,1
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,3,2,F3,104,15.553210046,15.760842509,-0.2076324629999995,0.122034286,37,160,0.76875,649,150,7201,2,571.375,1316.39925,1
