archive,trajectory,pli_amplitude,noise,seed,algorithm,algorithm_name,search_mode,output_snr_db,frequency_mae_hz,rmse,tracker_calls,tracker_searches,tracker_grid_evaluations
main_F0_P020_Z0_N0.npz,F0,0.2,0,1018,3,A3,0,22.333974441323157,0.0016403675079345703,0.011128928541198247,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1018,3,A3,1,22.333974441323157,0.0016403675079345703,0.011128928541198247,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1018,7,B4,0,22.332869401580595,0.003749656677246094,0.011130344480285725,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1018,7,B4,1,22.332869401580595,0.003749656677246094,0.011130344480285725,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1019,2,A2,0,22.337882321489925,0.0012500286102294922,0.01112392263633833,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1019,2,A2,1,22.337882321489925,0.0012500286102294922,0.01112392263633833,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1019,3,A3,0,22.33879786567346,0.0016403675079345703,0.011122750170838455,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1019,3,A3,1,22.33879786567346,0.0016403675079345703,0.011122750170838455,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1019,7,B4,0,22.337688796155767,0.003749656677246094,0.011124170484850966,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1019,7,B4,1,22.337688796155767,0.003749656677246094,0.011124170484850966,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1020,2,A2,0,22.51661337120445,0.005937409400939941,0.010897362736157074,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1020,2,A2,1,22.51661337120445,0.005937409400939941,0.010897362736157074,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1020,3,A3,0,22.51275996272402,0.010106945037841797,0.010902198315213885,17,16,3216
main_F0_P020_Z0_N0.npz,F0,0.2,0,1020,3,A3,1,22.51275996272402,0.010106945037841797,0.010902198315213885,17,16,512
main_F0_P020_Z0_N0.npz,F0,0.2,0,1020,7,B4,0,22.465368264654032,0.023905515670776367,0.010961845145816175,16,15,3015
main_F0_P020_Z0_N0.npz,F0,0.2,0,1020,7,B4,1,22.465368264654032,0.023905515670776367,0.010961845145816175,16,15,480
main_F0_P020_Z0_N0.npz,F0,0.2,0,1021,2,A2,0,22.503867127357676,0.004374957084655762,0.01091336597983071,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1021,2,A2,1,22.503867127357676,0.004374957084655762,0.01091336597983071,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1021,3,A3,0,22.480476945702833,0.015233802795410156,0.01094279412521958,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1021,3,A3,1,22.480476945702833,0.015233802795410156,0.01094279412521958,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1021,7,B4,0,22.517927561422844,0.0,0.010895714070936386,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1021,7,B4,1,22.517927561422844,0.0,0.010895714070936386,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1022,2,A2,0,22.568435278415905,0.006562495231628418,0.010832540264101359,160,159,31959
