record,subject_cluster,selected_lead,segment,start_seconds,trajectory,pli_amplitude,noise,algorithm,algorithm_name,output_snr_db,prd_percent,correlation,frequency_mae_hz,tracker_calls,tracker_searches,tracker_grid_evaluations
100,subject_100,MLII,0,300,F4,0.5,none,3,A3,13.818294749097568,20.37442037756637,0.9808835350419479,0.23808580207053176,160,159,5088
100,subject_100,MLII,0,300,F4,0.5,none,7,B4,13.818294749097568,20.37442037756637,0.9808835350419479,0.23808580207053176,160,159,5088
100,subject_100,MLII,0,300,F4,0.5,20dB,2,A2,12.87627875883351,22.708375241768806,0.9764077701073626,0.2378482983373052,160,159,5088
100,subject_100,MLII,0,300,F4,0.5,20dB,3,A3,12.876058646869428,22.70895070940854,0.9764065815982939,0.23791598537191214,157,156,4992
100,subject_100,MLII,0,300,F4,0.5,20dB,7,B4,12.875802316521078,22.709620885911054,0.97640528683397,0.23822328307851615,156,155,4960
100,subject_100,MLII,0,300,F5,0.2,none,2,A2,16.578260784192306,14.828149663140689,0.9898833166807492,0.08511074542998527,160,159,5088
100,subject_100,MLII,0,300,F5,0.2,none,3,A3,16.577560095766238,14.829345894312043,0.9898818331636668,0.08672025680541244,146,145,4640
100,subject_100,MLII,0,300,F5,0.2,none,7,B4,16.575869597664372,14.83223234829941,0.9898776830191921,0.0878158855438154,152,151,4832
100,subject_100,MLII,0,300,F5,0.2,20dB,2,A2,14.603663538167684,18.61301910380671,0.9839679172684698,0.08593413829802551,160,159,5088
100,subject_100,MLII,0,300,F5,0.2,20dB,3,A3,14.603010833272352,18.614417839649246,0.9839663570072585,0.08886596202848668,96,95,3040
100,subject_100,MLII,0,300,F5,0.2,20dB,7,B4,14.605042672594848,18.61006398709402,0.9839739671333417,0.09126881122587553,97,96,3072
100,subject_100,MLII,0,300,F5,0.5,none,2,A2,15.093481858697588,17.592433054855007,0.9857544181587142,0.07200614929198537,160,159,5088
100,subject_100,MLII,0,300,F5,0.5,none,3,A3,15.092917491687476,17.593576163024725,0.9857525845136316,0.07237059593200001,155,154,4928
100,subject_100,MLII,0,300,F5,0.5,none,7,B4,15.089124816256374,17.60126003848276,0.985738622682975,0.07087573051451912,149,148,4736
100,subject_100,MLII,0,300,F5,0.5,20dB,2,A2,13.925675584630756,20.12408860229938,0.9813963080417796,0.058995499610893364,160,159,5088
100,subject_100,MLII,0,300,F5,0.5,20dB,3,A3,13.92539816492098,20.1247313583334,0.9813976559330094,0.05982772350310527,133,132,4224
100,subject_100,MLII,0,300,F5,0.5,20dB,7,B4,13.92241384166189,20.131647060136277,0.9813831989843677,0.06071108818053395,134,133,4256
100,subject_100,MLII,1,900,F0,0.2,none,2,A2,17.39011848960358,13.504984050971943,0.9917694830665235,0.03419294357299805,160,159,5088
100,subject_100,MLII,1,900,F0,0.2,none,3,A3,17.390947215832355,13.50369559336187,0.9917710869662135,0.032793402671813965,130,129,4128
100,subject_100,MLII,1,900,F0,0.2,none,7,B4,17.389914096238986,13.505301849346296,0.9917690023141509,0.03458058834075928,138,137,4384
100,subject_100,MLII,1,900,F0,0.2,20dB,2,A2,15.426335099152563,16.931024772810368,0.9869718589823293,0.026038193702697755,160,159,5088
100,subject_100,MLII,1,900,F0,0.2,20dB,3,A3,15.425351373496738,16.93294241479542,0.9869687273206195,0.026280426979064943,95,94,3008
100,subject_100,MLII,1,900,F0,0.2,20dB,7,B4,15.425404694942092,16.932838466181067,0.9869686223034242,0.024372792243957518,90,89,2848
100,subject_100,MLII,1,900,F0,0.5,none,2,A2,15.731620454553841,16.34628164059206,0.9878579788371025,0.01613960266113281,160,159,5088
100,subject_100,MLII,1,900,F0,0.5,none,3,A3,15.731540312225336,16.346432463958617,0.9878577002998407,0.015016889572143555,130,129,4128
100,subject_100,MLII,1,900,F0,0.5,none,7,B4,15.731926542811719,16.345705612468244,0.9878588362689326,0.015520501136779784,138,137,4384
100,subject_100,MLII,1,900,F0,0.5,20dB,2,A2,14.385930032723222,19.085498085731604,0.9833203518082939,0.003962373733520508,160,159,5088
100,subject_100,MLII,1,900,F0,0.5,20dB,3,A3,14.385929335200318,19.085499618398167,0.9833203486984728,0.0039631366729736325,95,94,3008
100,subject_100,MLII,1,900,F0,0.5,20dB,7,B4,14.385925835923688,19.085507307357965,0.9833203334333541,0.003978896141052246,75,74,2368
100,subject_100,MLII,1,900,F1,0.2,none,2,A2,16.977811847347773,14.161504925700255,0.9909410510907235,0.10400953292846679,160,159,5088
100,subject_100,MLII,1,900,F1,0.2,none,3,A3,16.97820362706311,14.160866181083968,0.9909418769531416,0.1026648759841919,136,135,4320
100,subject_100,MLII,1,900,F1,0.2,none,7,B4,16.978441910668266,14.16047770551008,0.9909423987465151,0.10137310028076171,131,130,4160
100,subject_100,MLII,1,900,F1,0.2,20dB,2,A2,15.081706468046791,17.616299153183963,0.9858007607120639,0.10116758346557617,160,159,5088
100,subject_100,MLII,1,900,F1,0.2,20dB,3,A3,15.081614113149417,17.616486463893366,0.9858003626687316,0.10093495845794678,106,105,3360
100,subject_100,MLII,1,900,F1,0.2,20dB,7,B4,15.081328153712013,17.617066448638028,0.9857991048929815,0.09663152694702148,92,91,2912
100,subject_100,MLII,1,900,F1,0.5,none,2,A2,13.779700943098245,20.465150979678093,0.9809163995817517,0.08886027336120605,160,159,5088
100,subject_100,MLII,1,900,F1,0.5,none,3,A3,13.779731440443122,20.46507912386393,0.9809163469374822,0.08754553794860839,136,135,4320
100,subject_100,MLII,1,900,F1,0.5,none,7,B4,13.779490056703532,20.465647863069428,0.9809155211863594,0.08947052955627441,141,140,4480
100,subject_100,MLII,1,900,F1,0.5,20dB,2,A2,13.03816674189435,22.28905536667963,0.9776106406386814,0.08253614902496338,160,159,5088
100,subject_100,MLII,1,900,F1,0.5,20dB,3,A3,13.038879589048308,22.287226188740057,0.9776148378807578,0.08433344364166259,102,101,3232
100,subject_100,MLII,1,900,F1,0.5,20dB,7,B4,13.039295114741833,22.28616001198776,0.9776165339597496,0.08039851188659668,90,89,2848
100,subject_100,MLII,1,900,F2,0.2,none,2,A2,14.609906731331009,18.59964535812766,0.9841805130043433,0.24785997867584228,160,159,5088
100,subject_100,MLII,1,900,F2,0.2,none,3,A3,14.610233424886584,18.598945801691112,0.9841816461963593,0.24768571853637694,132,131,4192
100,subject_100,MLII,1,900,F2,0.2,none,7,B4,14.610707185763683,18.597931373354704,0.9841834262933803,0.2460080862045288,135,134,4288
100,subject_100,MLII,1,900,F2,0.2,20dB,2,A2,13.668559580208976,20.728697848586503,0.9804600095688375,0.24742305278778076,160,159,5088
100,subject_100,MLII,1,900,F2,0.2,20dB,3,A3,13.669786058722785,20.7257710893547,0.980465808821879,0.24613189697265625,106,105,3360
100,subject_100,MLII,1,900,F2,0.2,20dB,7,B4,13.6692848460082,20.726967088860178,0.9804635475754684,0.24671757221221924,109,108,3456
100,subject_100,MLII,1,900,F2,0.5,none,2,A2,9.616790596319063,33.049163398610084,0.952126361316071,0.22940347194671631,160,159,5088
100,subject_100,MLII,1,900,F2,0.5,none,3,A3,9.616790596319063,33.049163398610084,0.952126361316071,0.22940347194671631,136,135,4320
100,subject_100,MLII,1,900,F2,0.5,none,7,B4,9.616790596319063,33.049163398610084,0.952126361316071,0.22940347194671631,135,134,4288
100,subject_100,MLII,1,900,F2,0.5,20dB,2,A2,9.080765157216552,35.15294723290596,0.945945279835415,0.2386594295501709,160,159,5088
100,subject_100,MLII,1,900,F2,0.5,20dB,3,A3,9.079500282094138,35.15806672301769,0.9459284790169983,0.24133684635162353,107,106,3392
100,subject_100,MLII,1,900,F2,0.5,20dB,7,B4,9.080554141578464,35.15380125155061,0.9459433367561904,0.2415499210357666,102,101,3232
100,subject_100,MLII,1,900,F3,0.2,none,2,A2,17.481056849100117,13.364328975338482,0.9919614210768999,0.08849990511441314,160,159,5088
100,subject_100,MLII,1,900,F3,0.2,none,3,A3,17.47682138047541,13.37084736338123,0.9919534070520155,0.0916259429746915,136,135,4320
100,subject_100,MLII,1,900,F3,0.2,none,7,B4,17.472929347570886,13.376840006735021,0.9919460759692625,0.09440937619671104,136,135,4320
100,subject_100,MLII,1,900,F3,0.2,20dB,2,A2,15.461371985832406,16.862866461945075,0.987100861742611,0.08705597190599398,160,159,5088
100,subject_100,MLII,1,900,F3,0.2,20dB,3,A3,15.454796412633394,16.87563717392345,0.9870804033292713,0.09477517725932914,111,110,3520
100,subject_100,MLII,1,900,F3,0.2,20dB,7,B4,15.444939719465232,16.89479841127898,0.9870509784356383,0.10365092770976611,116,115,3680
