algorithm,archive,archive_algorithm_index,archive_seed_index,f42_amplitude_error,f42_clean_amplitude,f42_output_amplitude,f42_phase_error_rad,f58_amplitude_error,f58_clean_amplitude,f58_output_amplitude,f58_phase_error_rad,frequency_mae_hz,frequency_p95_abs_error_hz,input_sha256,input_snr_db,matrix,near_line,noise,output_sha256,output_snr_db,pli_amplitude,rmse,run_id,sample_count,seed,snr_improvement_db,state_fast_fraction,state_mid_fraction,state_slow_fraction,state_transitions,status,tracker_calls,trajectory
3,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,3,8,,,,,,,,,0.08181087970733643,0.45295143127428017,FD59E7F60EC2D6B65492EAF671291E0B5AA5BB6346C39549532163DD5C0D6FF1,-7.734053503521196,main,N0,2,BE1DA08100A645318004590B36CACA4BBF3F7BF79367F64139927F231D33A9B5,8.689037878926516,0.5,0.05354268944038549,main-A3-F1-P0.50-Z2-N0-S1008,8000,1008,16.423091382447712,0.137375,0.0375,0.825125,5,PASS,33,F1
0,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,0,9,,,,,,,,,1.0,1.0,54AE1C50F01DB32799BDD0FF5FC4A8A0962E87B30092B0C635283766A8ECB930,-7.744610216944368,main,N0,2,9BD7F022420C15EE37D3748A904D9A991B8F621186659DBC5EAD351163366F5F,-5.428172056321219,0.5,0.27199484849659517,main-A0-F1-P0.50-Z2-N0-S1009,8000,1009,2.3164381606231497,0.0,0.0,0.0,0,PASS,0,F1
1,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,1,9,,,,,,,,,1.0,1.0,54AE1C50F01DB32799BDD0FF5FC4A8A0962E87B30092B0C635283766A8ECB930,-7.744610216944368,main,N0,2,629F284D503B95D846F8AA95334CD91DB115A5ED6CCB37D764707896024410FE,5.890582671107967,0.5,0.07389634229769601,main-A1-F1-P0.50-Z2-N0-S1009,8000,1009,13.635192888052334,0.0,0.0,0.0,0,PASS,0,F1
2,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,2,9,,,,,,,,,0.07860429286956787,0.2979629516598754,54AE1C50F01DB32799BDD0FF5FC4A8A0962E87B30092B0C635283766A8ECB930,-7.744610216944368,main,N0,2,F49ED96BADE0E38E8CDE304FBDA8CE787EFB35843345F6BDB676741026B02FE1,8.79923412258116,0.5,0.05286769425967478,main-A2-F1-P0.50-Z2-N0-S1009,8000,1009,16.543844339525528,1.0,0.0,0.0,0,PASS,160,F1
3,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,3,9,,,,,,,,,0.07792644500732422,0.2979629516598754,54AE1C50F01DB32799BDD0FF5FC4A8A0962E87B30092B0C635283766A8ECB930,-7.744610216944368,main,N0,2,6BF53076A9A660F70C988FC21CBEA6B0ABFC4D591C2A099DA1FEF31C5C1E66D9,8.799045962343836,0.5,0.05286883953161124,main-A3-F1-P0.50-Z2-N0-S1009,8000,1009,16.543656179288206,0.137375,0.0375,0.825125,5,PASS,33,F1
0,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,0,10,,,,,,,,,1.0,1.0,A24F5049999276A93046A5A196073D6C0B8247AEB8771E3E40F5303908949C6F,-7.748952887157543,main,N0,2,67300B0DE421551024302855019B4B585C6171AFDF1D441D8E478ED9E0BEC651,-5.4355236520852825,0.5,0.2722251579652908,main-A0-F1-P0.50-Z2-N0-S1010,8000,1010,2.31342923507226,0.0,0.0,0.0,0,PASS,0,F1
1,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,1,10,,,,,,,,,1.0,1.0,A24F5049999276A93046A5A196073D6C0B8247AEB8771E3E40F5303908949C6F,-7.748952887157543,main,N0,2,BA22661C6A33D76F9B5CC07787917B6F772104AC3B11F395DCADAD003CF043F7,5.908782493720582,0.5,0.07374166703070899,main-A1-F1-P0.50-Z2-N0-S1010,8000,1010,13.657735380878126,0.0,0.0,0.0,0,PASS,0,F1
2,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,2,10,,,,,,,,,0.07552080154418946,0.2517200469967823,A24F5049999276A93046A5A196073D6C0B8247AEB8771E3E40F5303908949C6F,-7.748952887157543,main,N0,2,EF07AB170BC7CC81900CEA36F2FED6C07262D1AF2409A0CBF365875607892605,8.85200722633267,0.5,0.05254745834234648,main-A2-F1-P0.50-Z2-N0-S1010,8000,1010,16.600960113490213,1.0,0.0,0.0,0,PASS,160,F1
3,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,3,10,,,,,,,,,0.07500777244567872,0.2517200469967823,A24F5049999276A93046A5A196073D6C0B8247AEB8771E3E40F5303908949C6F,-7.748952887157543,main,N0,2,E322B26DD3536127DC0B5337D3C067913F96F7017910E83352EE9BA39D6ABD31,8.85224279826313,0.5,0.05254603321045361,main-A3-F1-P0.50-Z2-N0-S1010,8000,1010,16.601195685420674,0.137375,0.0375,0.825125,5,PASS,33,F1
0,outputs\phase4_host\batches\main_F1_P050_Z2_N0.npz,0,11,,,,,,,,,1.0,1.0,D828EE5FF75C25F6F8EC20CDAD1011A0EFD5ADB4DA264B9FAD1D6F2F1FD9139B,-7.734568966175547,main,N0,2,6A5A2AB9A2324959259E9ACD1CA4A8872DEFDF4EADB16E522E7C42B88C8AE221,-5.413812839637634,0.5,0.27154556735469737,main-A0-F1-P0.50-Z2-N0-S1011,8000,1011,2.3207561265379133,0.0,0.0,0.0,0,PASS,0,F1
